SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK
APARINDS,515881697280.0,LARGE CAP,53.046135,10.631454,0.0,14.499,0.073699996,0.04526,0.162,0.192,12843.0,CAPITAL GOODS,Industrials,Electrical Equipment & Parts,2026-05-11,16.2,19.2,17.7,921,0.0,7.369999600000001,4.526,14.499,1.89259988,1146,59.72,40.33,27.36,1.69,39.672,11
AEGISLOG,241066803200.0,LARGE CAP,31.332115,4.055578,0.0,28.45,0.14162,0.103369996,0.011,0.424,686.8,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,1.1,42.4,21.75,834,0.0,14.162,10.3369996,28.45,3.987849899999999,908,66.4,34.0,25.3,3.14,39.451,12
HUDCO,457013755904.0,LARGE CAP,16.42374,2.5309873,0.0,705.764,0.66308,0.61524,0.161,-0.03,228.29,OTHERS,Financial Services,Credit Services,2026-05-11,16.1,-3.0,6.550000000000001,1270,0.0,66.308,61.524,705.764,-35.303000000000004,2273,60.95,36.2,29.35,3.73,39.157000000000004,13
MFSL,585142108160.0,LARGE CAP,398.94116,21.273794,0.0,12.673,0.04599,0.00287,-0.402,0.0,1695.5,OTHERS,Financial Services,Insurance - Life,2026-05-11,-40.2,0.0,-20.1,2067,0.0,4.599,0.287,12.673,0.1841499999999998,1342,64.62,38.08,20.13,0.18,39.055499999999995,14
SOLARINDS,1471639715840.0,LARGE CAP,100.98106,28.767727,0.0,16.425,0.25325,0.16222,0.292,0.417,16263.0,CHEMICALS,Basic Materials,Specialty Chemicals,2026-05-11,29.2,41.7,35.45,588,0.0,25.325,16.222,16.425,10.0105,466,61.15,39.77,22.94,0.24,39.0445,15
UPL,565495070720.0,LARGE CAP,31.963688,1.7184558,0.0,79.613,0.1309,0.0358,0.125,-0.517,669.0,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,12.5,-51.7,-19.6,2060,0.0,13.089999999999998,3.58,79.613,-3.1393000000000013,1688,63.61,37.16,23.64,3.54,38.9675,16
GMDCLTD,210897600512.0,LARGE CAP,21.331617,3.1362758,0.0,4.139,0.13594,0.36136,-0.114,-0.099,663.2,POWER,Energy,Thermal Coal,2026-05-11,-11.4,-9.9,-10.65,1901,0.0,13.594,36.136,4.139,12.6983,352,57.43,41.41,27.57,4.83,38.933,17
KIMS,311248060416.0,LARGE CAP,103.300125,13.7090225,0.0,123.719,0.12048,0.08291,0.292,-0.401,777.85,PHARMA,Healthcare,Medical Care Facilities,2026-05-11,29.2,-40.1,-5.450000000000001,1773,0.0,12.048,8.291,123.719,-6.68475,1925,62.62,40.9,21.25,7.31,38.768499999999996,18
RECLTD,925709828096.0,LARGE CAP,5.686671,1.1086408,0.19957,607.463,0.90234,0.70553,-0.144,-0.219,351.55,OTHERS,Financial Services,Credit Services,2026-05-11,-14.4,-21.9,-18.15,2036,19.957,90.234,70.553,607.463,-9.052899999999994,2014,61.96,40.0,21.3,3.3,38.681000000000004,19
RATNAMANI,213514240000.0,LARGE CAP,36.481438,5.5162992,0.0,6.134,0.1609,0.11417,-0.19,-0.175,3046.2,METALS,Basic Materials,Steel,2026-05-11,-19.0,-17.5,-18.25,2037,0.0,16.09,11.417,6.134,7.06785,635,64.95,30.37,29.18,5.09,38.6295,20
INDHOTEL,941315719168.0,LARGE CAP,47.00071,8.136073,0.0,25.013,0.3392,0.20879999,0.119,0.553,661.3,FMCG,Consumer Cyclical,Lodging,2026-05-11,11.9,55.3,33.6,606,0.0,33.92,20.879999,25.013,12.89469975,341,57.39,38.43,27.97,0.91,38.516999999999996,21
BAJFINANCE,5820243247104.0,LARGE CAP,30.710302,5.104651,0.17907,313.407,0.60647,0.43383998,0.268,0.214,936.05,OTHERS,Financial Services,Credit Services,2026-05-11,26.8,21.4,24.1,787,17.907,60.647,43.383998,313.407,3.966849500000002,909,57.75,41.71,24.3,3.71,38.4295,22
ABBOTINDIA,590624325632.0,LARGE CAP,38.699303,14.726015,0.0,4.549,0.25794,0.22333999,0.068,0.042,27795.0,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,6.800000000000001,4.2,5.5,1299,0.0,25.794,22.333999,4.549,12.86679975,343,55.98,39.72,27.78,1.82,38.27199999999999,23
POLICYBZR,760798511104.0,LARGE CAP,113.43233,11.130613,0.097440004,4.922,0.088970006,0.09861,0.367,0.528,1642.5,OTHERS,Financial Services,Insurance Brokers,2026-05-11,36.7,52.8,44.75,496,9.7440004,8.8970006,9.861,4.922,8.052550319999998,575,59.81,37.95,26.56,6.96,38.2625,24
IPCALAB,389435981824.0,LARGE CAP,42.793423,4.728897,0.0,14.425,0.17796,0.09571,0.066,0.236,1535.0,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,6.6000000000000005,23.6,15.1,992,0.0,17.796,9.571,14.425,6.2890500000000005,704,63.13,41.56,16.93,7.65,38.031000000000006,25
ASTRAZEN,214487498752.0,LARGE CAP,106.33986,26.842058,0.0,4.354,0.06702,0.092259996,0.389,0.057,8579.5,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,38.9,5.7,22.3,822,0.0,6.702,9.2259996,4.354,3.8816999,919,58.96,39.46,23.2,3.95,37.87899999999999,26
ULTRACEMCO,3490616967168.0,LARGE CAP,42.800465,4.845463,0.10593,29.432,0.17024,0.092259996,0.03,0.0,11866.0,OTHERS,Basic Materials,Building Materials,2026-05-11,3.0,0.0,1.5,1454,10.593,17.024,9.2259996,29.432,8.178049900000001,568,61.98,43.11,13.86,3.68,37.72299999999999,27
NESTLEIND,2857569091584.0,LARGE CAP,81.91819,55.412632,0.76338995,8.613,0.23223,0.15112,0.238,0.274,1481.9,FMCG,Consumer Defensive,Packaged Foods,2026-05-11,23.8,27.4,25.6,744,76.338995,23.223,15.112,8.613,36.60224825,70,53.08,43.8,26.87,8.56,37.579499999999996,28
LLOYDSME,980929347584.0,LARGE CAP,26.083769,11.732369,0.0,100.054,0.31112,0.20048,2.019,1.668,1743.7,METALS,Basic Materials,Steel,2026-05-11,201.9,166.79999999999998,184.35,143,0.0,31.112,20.048,100.054,4.340199999999999,869,60.59,40.48,20.27,8.42,37.576,29
AMBUJACEM,1083877294080.0,LARGE CAP,22.885626,1.8167809,0.08311,1.205,0.03767,0.1163,0.094,0.772,436.2,OTHERS,Basic Materials,Building Materials,2026-05-11,9.4,77.2,43.3,506,8.311,3.767,11.63,1.205,6.825950000000001,658,63.35,36.05,19.48,3.5,37.50749999999999,30
HAL,3180894355456.0,LARGE CAP,35.7321,8.569554,0.0,0.031,0.15114,0.27084,0.107,0.296,4756.3,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,10.7,29.6,20.15,864,0.0,15.114,27.084000000000003,0.031,11.3021,412,53.97,44.61,21.31,1.5,37.449999999999996,31
SBILIFE,1890226798592.0,LARGE CAP,76.26063,9.937666,0.13697,0.0,0.21172,0.022,-0.822,-0.011,1884.4,OTHERS,Financial Services,Insurance - Life,2026-05-11,-82.19999999999999,-1.1,-41.64999999999999,2286,13.697,21.172,2.2,0.0,11.69555,389,53.57,44.44,22.61,3.45,37.388999999999996,32
EICHERMOT,1975748132864.0,LARGE CAP,36.939686,8.944361,0.0,2.018,0.22009,0.23883,0.229,0.213,7202.5,AUTO,Consumer Cyclical,Auto Manufacturers,2026-05-11,22.9,21.3,22.1,826,0.0,22.009,23.883,2.018,12.37165,361,59.01,44.18,15.65,4.91,37.329,33
BEL,3157459206144.0,LARGE CAP,52.805622,14.654296,0.0,0.273,0.27842,0.22475,0.24,0.207,431.95,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,24.0,20.7,22.35,820,0.0,27.842,22.475,0.273,13.94405,297,60.79,36.83,21.69,4.32,37.315999999999995,34
KPRMILL,321149140992.0,LARGE CAP,38.021088,5.992126,0.0,6.46,0.16375999,0.12719,-0.04,0.03,937.6,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-4.0,3.0,-0.5,1620,0.0,16.375999,12.719,6.46,7.446549699999999,615,55.02,41.6,25.18,7.25,37.307,35
COALINDIA,2862279294976.0,LARGE CAP,9.200674,2.4029906,0.28124002,11.629,0.20922,0.18465,0.162,0.129,464.45,POWER,Energy,Thermal Coal,2026-05-11,16.2,12.9,14.55,1006,28.124002,20.922,18.465,11.629,19.5733507,184,51.99,42.74,28.06,7.47,37.286500000000004,36
PIRAMALFIN,444077080576.0,LARGE CAP,29.690239,1.579395,0.06717,283.736,-0.49855998,0.28951,-0.247,2441.299,1964.9,OTHERS,Financial Services,Credit Services,2026-05-11,-24.7,244129.9,122052.6,1,6.717,-49.855998,28.951,283.736,-33.7416994,2268,64.17,41.62,13.15,9.6,37.272999999999996,37
ASHOKLEY,948745011200.0,LARGE CAP,28.689165,7.520253,0.0,327.886,0.19577,0.06152,0.236,0.066,161.52,CAPITAL GOODS,Industrials,Farm & Heavy Construction Machinery,2026-05-11,23.6,6.6000000000000005,15.1,994,0.0,19.577,6.152,327.886,-25.377500000000005,2227,53.64,39.64,28.95,6.77,37.226499999999994,38
IDEA,1319618215936.0,LARGE CAP,0.0,-1.599895,0.0,0.0,-0.066149995,-0.55325,0.019,0.0,12.18,TELECOM,Communication Services,Telecom Services,2026-05-11,1.9,0.0,0.95,1475,0.0,-6.614999500000001,-55.325,0.0,-15.81574985,2135,61.88,30.05,28.03,4.58,37.222500000000004,39
SUNTV,223741542400.0,LARGE CAP,14.161885,1.8102888,0.0,1.183,0.35543,0.35666,0.042,-0.107,567.75,OTHERS,Communication Services,Broadcasting,2026-05-11,4.2,-10.7,-3.25,1712,0.0,35.543,35.666,1.183,19.4611,186,62.83,34.12,20.53,2.46,37.11299999999999,40
VBL,1695545032704.0,LARGE CAP,53.273113,8.659377,0.0,12.705,0.18491,0.14024,0.181,0.2,501.3,FMCG,Consumer Defensive,Beverages - Non-Alcoholic,2026-05-11,18.1,20.0,19.05,893,0.0,18.491,14.024,12.705,7.7828,592,63.18,26.89,29.79,6.67,36.960499999999996,41
TVSHLTD,285738008576.0,LARGE CAP,18.501343,5.1829195,0.0,315.772,0.00457,0.0332,0.349,0.277,14123.0,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,34.9,27.700000000000003,31.3,642,0.0,0.457,3.32,315.772,-30.610100000000003,2256,59.84,39.23,19.0,5.95,36.867999999999995,42
OIL,741733105664.0,LARGE CAP,12.723214,1.3190743,0.0,58.174,0.21556,0.17412001,-0.001,-0.107,456.0,POWER,Energy,Oil & Gas Integrated,2026-05-11,-0.1,-10.7,-5.4,1772,0.0,21.556,17.412001,58.174,5.00240025,805,56.12,42.03,21.09,6.85,36.838499999999996,43
MEESHO,890652983296.0,LARGE CAP,0.0,20.451912,-0.46563,1.428,-0.07745,-0.107530005,0.471,0.0,194.15,FMCG,Consumer Cyclical,Internet Retail,2026-05-11,47.1,0.0,23.55,795,-46.563,-7.745,-10.7530005,1.428,-21.451600125,2197,53.78,41.63,23.02,2.38,36.829,44
PTCIL,255742902272.0,LARGE CAP,390.87994,18.052685,0.0,12.655,0.09851,0.13265,1.324,0.288,17058.0,CAPITAL GOODS,Industrials,Metal Fabrication,2026-05-11,132.4,28.8,80.6,312,0.0,9.851,13.265,12.655,5.006049999999999,804,55.05,42.27,22.19,6.77,36.819,45
GALLANTT,214559080448.0,LARGE CAP,44.28536,7.5481067,0.0,0.0,0.13781,0.11146,0.0,0.0,889.25,METALS,Basic Materials,Steel,2026-05-11,0.0,0.0,0.0,1517,0.0,13.781,11.146,0.0,6.9208,648,63.56,37.88,15.24,6.02,36.818000000000005,46
NMDC,763041808384.0,LARGE CAP,11.056051,2.3509495,0.0,11.21,0.26767,0.24884,0.159,-0.065,86.79,METALS,Basic Materials,Steel,2026-05-11,15.9,-6.5,4.7,1329,0.0,26.767000000000003,24.884,11.21,13.1301,332,63.85,38.49,13.01,4.79,36.668,47
EMCURE,318131273728.0,LARGE CAP,34.385246,6.426066,0.19573,30.567,0.15491,0.1003,0.169,0.288,1678.0,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,16.900000000000002,28.8,22.85,807,19.573,15.491,10.03,30.567,10.94865,426,60.65,40.64,16.27,8.29,36.658,48
AJANTPHARM,382827724800.0,LARGE CAP,36.318596,8.870272,0.25393,5.747,0.23563999,0.18774,0.267,0.186,3064.2,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,26.700000000000003,18.6,22.65,812,25.393,23.563999,18.774,5.747,20.0755497,179,61.85,32.94,23.59,7.74,36.653,49
NAVINFLUOR,362668654592.0,LARGE CAP,54.28341,10.026059,0.20105,31.997,0.29853,0.20023,0.338,1.165,7071.5,CHEMICALS,Basic Materials,Chemicals,2026-05-11,33.800000000000004,116.5,75.15,334,20.105,29.853,20.023,31.997,17.7987,212,61.96,29.26,25.78,2.82,36.627,50
CPPLUS,296580218880.0,LARGE CAP,116.7223,17.796202,0.0,8.041,0.11205,0.067210004,0.373,1.235,2517.7,CAPITAL GOODS,Industrials,Building Products & Equipment,2026-05-11,37.3,123.5,80.4,315,0.0,11.205,6.7210004,8.041,4.2376501,882,51.59,42.14,24.87,4.01,36.51499999999999,51
PGHH,321556054016.0,LARGE CAP,44.904804,34.529034,0.0,0.221,0.31088,0.198,0.011,0.122,9906.0,FMCG,Consumer Defensive,Household & Personal Products,2026-05-11,1.1,12.2,6.65,1267,0.0,31.088,19.8,0.221,14.2543,288,53.9,43.45,21.23,9.9,36.217499999999994,52
GLAND,316184035328.0,LARGE CAP,37.322056,3.3061142,0.0,3.161,0.19302,0.13859001,0.225,0.278,1919.1,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,22.5,27.800000000000004,25.15,764,0.0,19.302,13.859001,3.161,8.939250249999999,522,61.3,32.53,22.15,5.54,36.1975,53
HDFCLIFE,1343338184704.0,LARGE CAP,70.04499,7.55548,0.11281,17.46,0.0269,0.01915,-0.177,0.041,622.7,OTHERS,Financial Services,Insurance - Life,2026-05-11,-17.7,4.1000000000000005,-6.799999999999999,1805,11.281,2.69,1.915,17.46,3.4880999999999984,947,63.27,32.61,18.46,4.71,36.07150000000001,54
SUNDARMFIN,519081328640.0,LARGE CAP,25.249557,3.4308982,0.0,377.039,0.61693,0.46789002,0.186,0.188,4709.8,OTHERS,Financial Services,Credit Services,2026-05-11,18.6,18.8,18.700000000000003,902,0.0,61.693,46.789002,377.039,-7.498749499999995,1961,60.68,30.95,25.89,9.85,36.0105,55
SIEMENS,1284028104704.0,LARGE CAP,76.06751,9.697349,0.11808,0.0,0.0915,0.12118,0.14,-0.548,3605.6,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,14.000000000000002,-54.8,-20.4,2071,11.808,9.15,12.118,0.0,9.9073,470,50.75,38.72,29.58,7.84,35.9895,56
ENDURANCE,369788551168.0,LARGE CAP,40.135876,5.9081845,0.0,19.638,0.08293,0.06831,0.262,0.202,2628.9,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,26.200000000000003,20.200000000000003,23.200000000000003,802,0.0,8.293000000000001,6.831,19.638,2.231850000000001,1103,55.97,36.74,23.22,4.69,35.9475,57
SAGILITY,210472534016.0,LARGE CAP,24.839779,2.3922527,0.0,13.851,0.19663,0.12611,0.357,0.239,44.96,PHARMA,Healthcare,Health Information Services,2026-05-11,35.7,23.9,29.8,663,0.0,19.663,12.611,13.851,7.66655,602,60.11,27.44,27.35,1.63,35.945,58
UNOMINDA,677373542400.0,LARGE CAP,59.578465,10.844064,0.0,43.136,0.07463,0.060349997,0.199,0.186,1173.1,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,19.9,18.6,19.25,882,0.0,7.463,6.0349997,43.136,-0.5659500749999999,1450,64.22,35.27,12.85,3.64,35.9065,59
DRREDDY,1065638100992.0,LARGE CAP,18.841455,2.8617105,0.161,18.026,0.16420999,0.16363001,0.044,-0.143,1279.9,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,4.4,-14.3,-4.949999999999999,1762,16.1,16.420999,16.363001,18.026,12.84944995,346,61.27,32.52,19.36,1.4,35.9005,60
TATASTEEL,2645029552128.0,LARGE CAP,28.815218,2.7824352,0.0,99.699,0.09036,0.04073,0.063,7.308,212.08,METALS,Basic Materials,Steel,2026-05-11,6.3,730.8,368.55,72,0.0,9.036,4.073,99.699,-6.240850000000001,1897,56.01,44.18,13.29,3.24,35.855999999999995,61
BHARATFORG,949962145792.0,LARGE CAP,88.38968,10.145986,0.11603,76.475,0.11553001,0.06422,0.175,-0.179,1987.0,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,17.5,-17.9,-0.1999999999999993,1610,11.603,11.553001,6.422,76.475,1.4849502999999986,1191,60.71,25.98,27.4,0.62,35.8305,62
APOLLO,119458029568.0,MID CAP,125.57313,9.845363,0.0,33.483,0.17558001,0.115550004,0.7,0.133,317.7,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,70.0,13.3,41.65,528,0.0,17.558001,11.5550004,33.483,4.8078504,823,72.55,21.17,19.09,7.31,35.785,63
SAIL,746468540416.0,LARGE CAP,26.773333,1.2855954,0.0,57.763,0.028450001,0.025510002,0.118,1.676,180.72,METALS,Basic Materials,Steel,2026-05-11,11.8,167.6,89.7,288,0.0,2.8450001,2.5510002,57.763,-4.2850499200000005,1785,50.51,44.55,19.57,1.66,35.77,64
MRPL,280994152448.0,LARGE CAP,14.602004,2.1096609,0.14169,108.059,0.08354,0.021710001,-0.034,-0.682,160.33,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,-3.4000000000000004,-68.2,-35.800000000000004,2238,14.169,8.354000000000001,2.1710001,108.059,-2.797799975,1655,63.55,31.73,16.43,1.4,35.729,65
PIIND,468884357120.0,LARGE CAP,32.3644,4.330786,0.0,2.237,0.14313,0.20922,-0.276,-0.164,3090.8,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,-27.6,-16.400000000000002,-22.0,2090,0.0,14.313,20.922,2.237,9.3007,504,55.47,37.05,24.6,9.76,35.7035,66
DABUR,839753596928.0,LARGE CAP,44.330524,7.3471446,0.16239999,10.907,0.11179,0.14364,0.073,0.152,473.45,FMCG,Consumer Defensive,Household & Personal Products,2026-05-11,7.3,15.2,11.25,1102,16.239999,11.179,14.364,10.907,11.53799965,394,52.66,42.38,19.64,4.3,35.62499999999999,67
HINDPETRO,803891314688.0,LARGE CAP,5.2203946,1.4128858,0.0,110.909,0.04644,0.03545,0.041,0.577,377.8,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,4.1000000000000005,57.7,30.9,643,0.0,4.644,3.5450000000000004,110.909,-8.81145,2007,59.66,35.1,19.51,8.61,35.427499999999995,68
FACT,571688091648.0,LARGE CAP,1963.3334,41.572556,0.0,278.992,-0.03282,0.07694,0.651,0.0,883.5,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,65.10000000000001,0.0,32.550000000000004,628,0.0,-3.282,7.693999999999999,278.992,-26.960300000000004,2237,52.9,34.68,29.66,9.2,35.413999999999994,69
PETRONET,413625024512.0,LARGE CAP,10.573236,1.9586881,0.18559,10.507,0.17536,0.089949995,-0.233,0.253,275.75,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,-23.3,25.3,1.0,1470,18.559,17.535999999999998,8.9949995,10.507,12.954499875,339,56.54,37.63,20.6,8.2,35.407999999999994,70
NEULANDLAB,225164558336.0,LARGE CAP,125.752365,13.897863,0.0,16.327,0.121020004,0.022880001,0.105,-0.601,17550.0,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,10.5,-60.1,-24.8,2118,0.0,12.1020004,2.2880001,16.327,2.569900145,1065,59.22,35.44,17.53,4.09,35.332499999999996,71
GMRAIRPORT,1035835539456.0,LARGE CAP,0.0,-33.2768,0.0,0.0,0.31302,-0.02654,0.505,-0.455,98.1,CAPITAL GOODS,Industrials,Airports & Air Services,2026-05-11,50.5,-45.5,2.5,1415,0.0,31.302000000000003,-2.654,0.0,8.7271,533,56.67,39.08,16.21,3.54,35.257,72
ANANDRATHI,297230467072.0,LARGE CAP,75.72335,29.777924,0.46738997,8.25,0.40331,0.31573,0.476,0.384,3580.2,OTHERS,Financial Services,Asset Management,2026-05-11,47.6,38.4,43.0,509,46.738997,40.331,31.573,8.25,35.52619895,74,55.56,29.95,29.41,5.72,35.211499999999994,73
AEQUS,124009725952.0,MID CAP,0.0,14.2244425,0.0,108.0,-0.01844,-0.04537,0.508,0.0,189.37,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,50.8,0.0,25.4,755,0.0,-1.844,-4.537,108.0,-12.48745,2088,73.53,19.59,15.72,3.75,35.1675,74
AFFLE,230299025408.0,LARGE CAP,52.51764,7.0528693,0.0,1.18,0.18098,0.16945,0.192,0.189,1637.5,OTHERS,Communication Services,Advertising Agencies,2026-05-11,19.2,18.9,19.05,894,0.0,18.098,16.945,1.18,9.54765,489,57.59,34.1,19.23,0.49,35.145,75
ALKEM,669504241664.0,LARGE CAP,28.238943,5.0162864,0.0,17.056,0.19615,0.16636999,0.107,0.016,5599.5,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,10.7,1.6,6.15,1282,0.0,19.615,16.636999,17.056,8.33814975,557,57.74,35.67,20.28,9.17,35.063,76
ADANIENT,3427634774016.0,LARGE CAP,33.93783,3.9876106,0.13664,119.56,0.05017,0.09295999,0.203,0.0,2500.2,POWER,Energy,Thermal Coal,2026-05-11,20.3,0.0,10.15,1136,13.664,5.017,9.295999,119.56,-3.344500250000001,1713,61.04,34.21,15.35,4.4,35.024499999999996,77
IKS,291821813760.0,LARGE CAP,44.618145,12.988757,0.0,34.186,0.30622,0.21679,0.24,0.412,1741.0,PHARMA,Healthcare,Health Information Services,2026-05-11,24.0,41.2,32.599999999999994,626,0.0,30.622,21.679,34.186,11.18775,418,56.79,31.12,23.56,1.25,34.9775,78
NUVAMA,291047997440.0,LARGE CAP,28.906166,7.599437,0.0,237.583,0.39311,0.28619,0.068,-0.007,1598.8,OTHERS,Financial Services,Asset Management,2026-05-11,6.800000000000001,-0.7000000000000001,3.0500000000000003,1393,0.0,39.311,28.619,237.583,-4.81025,1816,47.84,38.86,28.54,6.36,34.900999999999996,79
MOTHERSON,1372219375616.0,LARGE CAP,40.340557,3.7205186,0.0,49.937,0.05523,0.028299998,0.145,0.164,130.3,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,14.499999999999998,16.400000000000002,15.45,983,0.0,5.523,2.8299998,49.937,-2.6293000500000008,1639,58.96,28.18,26.17,8.91,34.741499999999995,80
AWL,265133735936.0,LARGE CAP,25.488806,2.6788585,0.10519,10.621,0.01844,0.013940001,0.18,0.537,204.93,FMCG,Consumer Defensive,Packaged Foods,2026-05-11,18.0,53.7,35.85,585,10.519,1.844,1.3940001,10.621,3.521250025,944,60.4,34.12,16.89,8.79,34.719500000000004,81
