FINAL_RANK,SYMBOL,SECTOR,PE_RATIO,PRICE_TO_BOOK,ROE,REVENUE_GROWTH,EARNINGS_GROWTH,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,GROWTH_SCORE,QUALITY_SCORE,OWNERSHIP_SCORE,VALUATION_SCORE,FINAL_SCORE,RATING,AI_RESEARCH_SUMMARY
11,GAYAHWS,CAPITAL GOODS,48.2,-0.088407926,0.0,-0.748,0.0,44.46,6.14,7.57,-37.4,28356.5354,18.375499999999995,-337.8838085905671,8431.838958281887,STRONG BUY,"GAYAHWS operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 8431.84.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.75.

Promoter holding is currently 44.46%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for GAYAHWS: STRONG BUY."
12,STEL,OTHERS,29.70753,0.47491333,0.0,55.585,135.4,50.98,13.87,1.29,9549.25,40.15264925,22.2725,13737.81689236216,5628.838673247432,STRONG BUY,"STEL operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 5628.84.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 55.59.

Promoter holding is currently 50.98%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for STEL: STRONG BUY."
13,SUPERSPIN,FMCG,0.0,0.5045999,0.0,-0.002,9.0,55.42,12.34,8.92,449.9,-43.94175,24.346,27099.45304388685,5546.5472837773705,STRONG BUY,"SUPERSPIN operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 5546.55.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.0.

Promoter holding is currently 55.42%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SUPERSPIN: STRONG BUY."
14,STCINDIA,CAPITAL GOODS,1.117273,-0.18006437,0.0,0.0,9.222,46.57,11.13,4.94,461.1,17.770799999999998,20.2225,24631.27131960389,5073.960003920779,STRONG BUY,"STCINDIA operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 5073.96.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.0.

Promoter holding is currently 46.57%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for STCINDIA: STRONG BUY."
15,STARHEALTH,OTHERS,54.482574,3.9903944,0.0,0.138,188.0,50.67,43.62,12.0,9406.9,1.620700025,32.92849999999999,10360.18604637632,4901.179119282764,STRONG BUY,"STARHEALTH operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 4901.18.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.14.

Promoter holding is currently 50.67%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for STARHEALTH: STRONG BUY."
16,CINEVISTA,OTHERS,inf,1.7553434,0.0,311.667,0.0,46.61,3.99,8.36,15583.35,-7.615848500000002,19.0975,17.090672970314525,4679.957880044063,STRONG BUY,"CINEVISTA operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 4679.96.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 311.67.

Promoter holding is currently 46.61%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for CINEVISTA: STRONG BUY."
17,ITCHOTELS,FMCG,43.782963,2.9950008,0.0,0.0,156.491,36.12,40.3,20.08,7824.550000000001,13.5740494,29.305,10733.662782190622,4504.030771258125,STRONG BUY,"ITCHOTELS operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 4504.03.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.0.

Promoter holding is currently 36.12%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ITCHOTELS: STRONG BUY."
18,INVPRECQ,OTHERS,0.0,6.7218084,0.0,0.196,6.541,64.99,14.9,9.41,336.85,-2.809050000000001,29.399999999999995,19667.463084666324,4039.584901933265,STRONG BUY,"INVPRECQ operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 4039.58.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.2.

Promoter holding is currently 64.99%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for INVPRECQ: STRONG BUY."
19,NAVKARURB,OTHERS,0.0,0.59532243,0.0,-0.385,6.5,61.99,11.44,2.77,305.75,15.08205,25.23,19590.39286021862,4019.374187043724,STRONG BUY,"NAVKARURB operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 4019.37.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.39.

Promoter holding is currently 61.99%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for NAVKARURB: STRONG BUY."
20,FEDDERSHOL,OTHERS,0.0,1.0971863,0.0,-0.102,5.741,48.61,5.33,6.83,281.94999999999993,5.27055,19.774999999999995,17290.342667330056,3548.189698466012,STRONG BUY,"FEDDERSHOL operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 3548.19.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.1.

Promoter holding is currently 48.61%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for FEDDERSHOL: STRONG BUY."
21,SBGLP,REALTY,15.426136,5.8690014,0.0,12.233,61.0,61.9,4.94,8.41,3661.65,10.7536006,25.1895,11870.68830908044,3480.896641996088,STRONG BUY,"SBGLP operates in the REALTY sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 3480.9.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 12.23.

Promoter holding is currently 61.9%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SBGLP: STRONG BUY."
22,ANSALAPI,REALTY,0.0,-0.08048566,0.0,0.71,5.721,61.73,10.01,1.8,321.55,-4.131600499999999,24.1845,16830.26279439095,3466.11497872819,STRONG BUY,"ANSALAPI operates in the REALTY sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 3466.11.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.71.

Promoter holding is currently 61.73%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ANSALAPI: STRONG BUY."
23,RAJMET,OTHERS,0.0,2.361602,0.0,-0.734,5.585,46.33,9.49,2.12,242.55,-2.35915,18.8885,16807.703241274354,3437.375603254871,STRONG BUY,"RAJMET operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 3437.38.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.73.

Promoter holding is currently 46.33%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for RAJMET: STRONG BUY."
24,GUJALKALI,CHEMICALS,0.0,1.393459,0.0,3.957,5.191,39.12,17.2,13.71,457.4,12.7468,21.3375,15634.52915873377,3272.2173717467545,STRONG BUY,"GUJALKALI operates in the CHEMICALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 3272.22.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 3.96.

Promoter holding is currently 39.12%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for GUJALKALI: STRONG BUY."
25,EQUITASBNK,BANKING,0.0,1.303114,0.016900001,0.179,4.027,13.65,17.69,11.33,210.3,1.4528494349999956,12.875,12144.02177706632,2494.905210243764,STRONG BUY,"EQUITASBNK operates in the BANKING sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2494.91.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.02, while revenue growth stands at 0.18.

Promoter holding is currently 13.65%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for EQUITASBNK: STRONG BUY."
26,ASIANTILES,CAPITAL GOODS,14.961446,0.99866503,0.0,0.178,42.5,49.7,8.71,4.49,2133.9,1.09840005,20.7785,8554.61720567786,2355.578661150572,STRONG BUY,"ASIANTILES operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2355.58.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.18.

Promoter holding is currently 49.7%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ASIANTILES: STRONG BUY."
27,GLOBUSSPR,FMCG,37.142857,2.7440631,0.0,0.191,74.071,45.98,7.74,6.21,3713.1,-1.6379499999999996,18.973499999999994,5994.667331601259,2316.166781320252,STRONG BUY,"GLOBUSSPR operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2316.17.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.19.

Promoter holding is currently 45.98%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for GLOBUSSPR: STRONG BUY."
28,TATVA,CHEMICALS,94.85775,4.1350164,0.0,0.529,107.167,35.74,11.69,3.75,5384.8,4.3576,16.8705,3396.972871877682,2299.515954375536,STRONG BUY,"TATVA operates in the CHEMICALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2299.52.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.53.

Promoter holding is currently 35.74%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for TATVA: STRONG BUY."
29,AERONEU,FMCG,113.65789,2.095178,0.0,-0.045,112.985,60.89,2.07,2.69,5647.0,-1.0527000000000006,22.542,2996.909594322792,2297.6745088645584,STRONG BUY,"AERONEU operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2297.67.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.04.

Promoter holding is currently 60.89%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AERONEU: STRONG BUY."
30,ACSTECH,OTHERS,0.0,2.0427437,0.0,0.861,3.636,47.39,4.49,6.84,224.85,-0.1810499999999999,19.629500000000004,10962.686130227694,2263.8638110455386,STRONG BUY,"ACSTECH operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2263.86.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.86.

Promoter holding is currently 47.39%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ACSTECH: STRONG BUY."
31,RVHL,REALTY,4.837545,0.8795152,0.0,141.838,0.0,48.01,7.44,9.2,7091.9,40.45595,21.1725,48.57985006664991,2153.65725501333,STRONG BUY,"RVHL operates in the REALTY sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2153.66.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 141.84.

Promoter holding is currently 48.01%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for RVHL: STRONG BUY."
32,MASKINVEST,OTHERS,0.0,0.40675324,0.0,2.005,3.25,39.05,11.27,3.8,262.75,13.3157,17.121499999999997,9863.754790496569,2058.9949680993136,STRONG BUY,"MASKINVEST operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 2058.99.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 2.0.

Promoter holding is currently 39.05%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for MASKINVEST: STRONG BUY."
33,SURYALA,OTHERS,0.0,0.0,0.0,0.037,3.03,60.91,13.86,8.6,153.35,1.1146,27.582499999999992,9160.0,1883.85588,STRONG BUY,"SURYALA operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1883.86.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.04.

Promoter holding is currently 60.91%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SURYALA: STRONG BUY."
34,PIONRINV,OTHERS,0.0,0.8138917,0.0,0.38,2.876,62.61,8.37,5.68,162.79999999999998,20.67585075,25.067499999999995,8704.859940947916,1801.0282434145834,STRONG BUY,"PIONRINV operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1801.03.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.38.

Promoter holding is currently 62.61%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for PIONRINV: STRONG BUY."
35,AVAILFC,OTHERS,0.0,0.1249696,0.0,0.065,0.33,47.44,10.39,2.99,19.75,5080.48045,19.5225,1270.0583821985506,1787.98531143971,STRONG BUY,"AVAILFC operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1787.99.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.07.

Promoter holding is currently 47.44%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AVAILFC: STRONG BUY."
36,PAVNAIND,AUTO,0.0,1.3333333,0.0,0.36,2.86,47.01,14.93,9.9,161.0,-1.9863499100000008,23.0785,8642.5000005625,1780.8197951395002,STRONG BUY,"PAVNAIND operates in the AUTO sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1780.82.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.36.

Promoter holding is currently 47.01%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for PAVNAIND: STRONG BUY."
37,AVONMORE,OTHERS,14.679012,0.8623441,0.0,0.559,31.0,56.01,9.08,8.25,1577.95,9.32655,23.936,6373.090139532508,1755.5881929065015,STRONG BUY,"AVONMORE operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1755.59.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.56.

Promoter holding is currently 56.01%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AVONMORE: STRONG BUY."
38,AUSOMENT,OTHERS,6.6752295,1.2493025,0.0,33.828,11.583,50.01,4.18,6.9,2270.55,1.6034499999999996,20.1125,5235.669418195065,1732.802418639013,STRONG BUY,"AUSOMENT operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1732.8.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 33.83.

Promoter holding is currently 50.01%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AUSOMENT: STRONG BUY."
39,INDIACEM,OTHERS,0.0,1.2177876,-0.00662,0.026,2.764,59.75,11.71,12.28,139.5,-0.0094000000000002,27.0805,8356.6348377993,1718.59024755986,STRONG BUY,"INDIACEM operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1718.59.

Business quality metrics remain healthy with Return on Equity (ROE) at -0.01, while revenue growth stands at 0.03.

Promoter holding is currently 59.75%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for INDIACEM: STRONG BUY."
40,SAPPL,OTHERS,0.0,1.0032715,0.0,0.464,2.715,43.03,7.7,7.47,158.95,-6.453850000000001,18.421,8214.902175034375,1692.413480006875,STRONG BUY,"SAPPL operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1692.41.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.46.

Promoter holding is currently 43.03%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SAPPL: STRONG BUY."
41,SINGERIND,OTHERS,0.0,2.7503526,0.0,0.525,2.625,48.04,6.21,1.54,157.5,1.698149915,19.033,7925.907692344611,1636.7475834434224,STRONG BUY,"SINGERIND operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1636.75.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.53.

Promoter holding is currently 48.04%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SINGERIND: STRONG BUY."
42,TNPL,OTHERS,4.3601565,0.46634012,0.11254,-0.045,9.848,43.98,3.48,10.0,490.15,-0.2189999250000021,18.381,6849.408283236297,1520.5371566697595,STRONG BUY,"TNPL operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 1520.54.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.11, while revenue growth stands at -0.04.

Promoter holding is currently 43.98%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for TNPL: STRONG BUY."
