SYMBOL,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT
BFINVEST,51.99,13.95,9.6,3.34
BFUTILITIE,50.1,9.63,5.75,7.17
BGLOBAL,29.34,3.34,5.64,6.56
BGRENERGY,62.66,3.14,4.64,7.37
BHAGCHEM,48.52,12.1,5.23,6.57
BHAGERIA,55.76,2.74,4.47,4.12
BHAGYANGR,42.8,8.0,8.65,0.16
BHANDARI,49.06,10.34,1.94,3.38
BHARATCOAL,56.45,6.5,4.88,0.71
BHARATFORG,60.71,25.98,27.4,0.62
BHARATGEAR,61.6,14.81,1.39,9.45
BHARATRAS,49.33,4.14,7.78,8.91
BHARATSE,47.49,3.81,2.68,8.84
BHARATWIRE,57.96,13.51,7.82,6.02
BHARTIARTL,42.19,26.25,25.44,3.07
BHARTIHEXA,42.66,44.27,24.25,0.72
BHEL,36.74,20.53,16.95,6.82
BI,40.25,6.61,9.55,7.35
BIGBLOC,63.05,13.26,5.77,8.18
BIKAJI,47.39,12.67,8.06,6.78
BIL,51.53,2.76,4.67,1.91
BILVYAPAR,57.02,7.97,7.52,1.98
BIMETAL,38.69,5.25,1.82,9.93
BIOCON,49.31,40.57,10.16,8.12
BIOFILCHEM,53.22,6.79,2.02,3.66
BIRLACABLE,18.98,6.72,7.42,2.53
BIRLACORPN,55.81,24.03,10.38,2.94
BIRLAMONEY,61.42,11.67,9.17,7.87
BIRLANU,36.71,14.56,2.25,1.81
BIRLAPREC,54.82,11.99,1.3,4.51
BLACKBUCK,23.99,19.27,17.75,1.52
BLACKROSE,52.05,10.68,1.58,2.39
BLAL,64.03,12.87,3.72,8.79
BLBLIMITED,41.98,5.44,2.7,1.35
BLIL,56.09,9.84,8.51,3.32
BLISSGVS,43.0,14.41,3.94,0.43
BLKASHYAP,57.44,9.06,5.85,0.89
BLS,61.35,11.83,17.1,3.01
BLSE,51.81,13.7,9.76,5.1
BLUECHIP,35.23,13.12,5.76,7.2
BLUECOAST,46.07,10.62,8.17,5.47
BLUEDART,39.38,12.18,9.56,7.26
BLUEJET,58.99,10.85,12.42,9.49
BLUESTARCO,48.62,24.56,17.63,5.69
BLUESTONE,37.36,11.87,9.8,9.24
BLUSPRING,43.11,5.47,7.32,5.69
BMWVENTLTD,57.61,8.2,8.41,0.88
BNAGROCHEM,52.6,6.43,9.21,7.3
BNALTD,61.3,14.94,9.83,2.26
BODALCHEM,60.05,8.97,2.88,1.1
BOHRAIND,44.54,7.09,3.07,4.89
BOMDYEING,42.07,3.45,1.16,3.17
BONLON,57.97,6.57,1.63,0.02
BORANA,42.7,14.31,4.38,0.37
BOROLTD,36.17,10.31,3.65,8.26
BORORENEW,27.94,19.62,13.62,4.5
BOROSCI,52.06,11.24,1.02,4.67
BOSCH-HCIL,64.79,4.53,1.32,5.23
BOSCHLTD,48.65,20.44,13.58,8.08
BPCL,56.21,34.57,13.32,2.46
BPL,19.33,7.4,7.05,1.86
BRIGADE,39.2,18.16,17.95,5.81
BRIGHOTEL,47.38,11.47,9.51,9.71
BRITANNIA,52.15,29.46,14.45,6.2
BRNL,53.59,11.95,2.64,6.3
BROOKS,50.7,6.17,8.34,0.02
BSE,57.64,21.71,20.82,0.32
BSHSL,53.48,14.67,5.2,8.18
BSL,48.2,7.19,4.16,2.82
BSOFT,26.22,10.95,5.1,3.92
BTML,47.43,3.91,7.92,6.26
BTTL,55.68,2.58,7.12,0.07
BUILDPRO,47.53,8.39,6.93,2.85
BUTTERFLY,64.23,3.92,3.89,5.06
BVCL,45.77,5.52,1.01,5.93
BYKE,56.73,3.52,7.48,8.65
CALSOFT,21.15,11.6,4.67,8.6
CAMLINFINE,41.49,12.78,8.89,9.61
CAMPUS,48.6,19.11,17.01,0.12
CAMS,23.16,40.28,25.52,7.8
CANBK,28.78,36.57,25.79,5.76
CANFINHOME,34.46,10.18,10.38,7.1
CANHLIFE,47.21,13.97,9.53,1.66
CANTABIL,51.81,5.98,2.03,1.5
CAPACITE,57.1,10.05,7.47,2.07
CAPILLARY,30.66,4.44,6.84,0.21
CAPITALSFB,21.68,14.42,8.28,4.41
CAPLIPOINT,62.08,18.16,12.54,5.54
CAPTRUST,35.45,2.91,7.59,3.99
CARBORUNIV,53.66,13.1,15.67,7.0
CARERATING,46.18,9.35,4.07,6.56
CARRARO,45.07,12.21,8.18,5.59
CARTRADE,37.39,10.63,19.88,7.15
CARYSIL,37.17,13.26,3.57,5.38
CASTROLIND,57.66,21.92,15.57,6.41
CCAVENUE,33.54,7.95,7.64,8.57
CCCL,61.52,7.74,6.06,0.76
CCHHL,39.55,13.23,2.05,6.21
CCL,47.14,23.2,11.14,7.13
CDSL,48.44,41.35,10.11,7.43
CEATLTD,40.43,24.81,13.1,9.49
CEIGALL,40.69,13.18,12.86,7.32
CEINSYS,56.45,13.8,2.09,3.11
CELEBRITY,56.9,9.5,3.84,6.31
CELLO,51.91,15.15,14.37,7.59
CEMPRO,63.34,21.65,12.82,9.46
CENTENKA,41.21,12.59,6.16,6.59
CENTEXT,44.68,9.19,2.04,5.45
CENTRALBK,12.32,22.69,20.87,0.81
CENTRUM,63.47,13.19,8.27,2.08
CENTUM,24.29,7.95,7.84,8.79
CENTURYPLY,40.72,10.92,15.33,6.15
CERA,61.27,12.85,7.19,0.59
CEREBRAINT,62.84,9.78,1.21,4.51
CESC,18.79,31.97,12.61,3.46
CEWATER,30.4,3.8,9.34,7.72
CGCL,36.66,15.1,9.35,3.05
CGPOWER,44.35,26.65,23.22,4.86
CHALET,54.34,14.3,13.07,6.23
CHAMBLFERT,63.26,19.82,11.23,1.6
CHEMBOND,41.35,8.86,2.97,4.96
CHEMBONDCH,41.46,11.25,7.61,9.27
CHEMCON,51.09,3.46,5.87,7.67
CHEMFAB,60.94,4.3,4.02,1.07
CHEMPLASTS,39.2,6.44,5.75,1.66
CHENNPETRO,55.43,22.97,17.93,3.29
CHEVIOT,42.14,2.69,7.43,4.22
CHOICEIN,64.45,14.91,7.7,0.11
CHOLAFIN,40.39,25.74,22.34,7.44
CHOLAHLDNG,40.77,21.94,23.57,2.4
CIEINDIA,64.69,14.95,18.8,5.69
CIFL,49.79,9.92,7.29,1.54
CIGNITITEC,12.38,13.2,9.15,1.03
CINELINE,64.58,11.99,9.59,9.11
CINEVISTA,46.61,3.99,8.36,5.03
CIPLA,39.65,26.75,19.97,4.2
CLCIND,44.08,14.62,9.64,6.51
CLEAN,59.87,20.49,10.07,3.71
CLEANMAX,26.93,11.75,6.06,0.2
CLEDUCATE,39.98,5.74,5.97,3.48
CLSEL,39.98,10.18,9.54,8.63
CMICABLES,63.44,2.11,8.74,1.89
CMPDI,43.22,6.53,8.51,9.45
CMSINFO,60.73,5.95,5.18,4.47
CNL,33.13,14.09,4.09,6.77
COALINDIA,51.99,42.74,28.06,7.47
COASTCORP,54.21,5.23,5.11,1.89
COCHINSHIP,52.76,24.01,16.1,7.36
COCKERILL,62.94,6.42,6.28,6.47
COFFEEDAY,44.64,10.74,1.86,6.09
COFORGE,26.25,27.91,20.82,3.1
COHANCE,40.51,11.17,6.67,8.25
COLPAL,38.66,29.54,22.41,3.35
COMFINTE,60.99,3.28,6.26,1.41
COMPINFO,34.15,8.38,8.96,4.95
COMPUSOFT,52.48,7.26,2.75,3.74
COMSYN,46.7,7.24,8.56,6.95
CONCOR,43.31,37.0,13.36,4.81
CONCORDBIO,46.75,23.21,18.3,8.2
CONFIPET,51.66,6.84,3.36,2.62
CONSOFINVT,43.14,5.07,2.67,7.12
CONTROLPR,43.23,2.87,8.29,1.03
CORALFINAC,58.03,13.97,7.4,9.28
CORDSCABLE,48.72,8.2,8.86,9.44
COROMANDEL,49.15,24.52,11.09,2.17
CORONA,49.25,5.66,6.19,5.08
COSMOFIRST,55.52,9.91,2.34,2.06
COUNCODOS,51.39,2.87,1.01,2.71
CPCAP,44.13,14.67,8.24,9.91
CPEDU,44.59,9.69,2.79,2.34
CPPLUS,51.59,42.14,24.87,4.01
CRAFTSMAN,58.51,22.44,18.22,8.37
CRAMC,55.67,12.84,4.16,6.85
CREATIVEYE,64.16,14.7,3.68,5.21
CREDITACC,48.89,38.78,23.42,3.92
CREST,37.85,7.47,4.83,2.84
CRISIL,64.7,44.25,26.72,8.95
CRIZAC,51.44,9.01,7.99,9.22
CROMPTON,62.9,15.8,5.3,5.33
CROWN,52.61,3.8,2.53,1.52
CSBBANK,33.26,23.49,8.99,2.24
CSLFINANCE,63.04,4.47,1.35,6.12
CTE,21.59,10.43,1.65,0.9
CUB,25.57,24.6,8.8,9.17
CUBEXTUB,35.73,12.97,8.31,1.89
CUMMINSIND,37.98,21.54,12.9,1.35
CUPID,40.06,20.91,15.96,2.19
CURAA,24.58,10.11,6.12,7.66
CYBERMEDIA,40.61,4.85,8.63,7.07
CYBERTECH,19.14,12.59,3.12,9.77
CYIENT,39.95,15.53,16.52,6.05
CYIENTDLM,24.06,10.36,5.94,5.98
DABUR,52.66,42.38,19.64,4.3
DAICHI,57.77,9.72,7.29,4.65
DALBHARAT,53.29,23.79,15.03,7.16
DALMIASUG,57.73,2.77,3.31,4.64
DAMCAPITAL,60.36,5.84,2.79,4.11
DAMODARIND,64.36,9.35,7.27,7.9
DANGEE,47.06,4.94,3.23,0.63
DATAMATICS,31.45,10.42,7.22,2.27
DATAPATTNS,60.69,25.2,20.69,0.33
DAVANGERE,38.57,11.25,8.28,3.87
DBCORP,40.84,2.72,2.12,4.36
DBEIL,43.1,3.58,5.4,0.98
DBL,61.25,19.16,14.2,4.55
DBOL,56.95,8.71,4.37,2.61
DBREALTY,64.45,21.62,11.7,6.81
DBSTOCKBRO,43.19,12.66,1.45,2.33
DCAL,50.77,6.75,4.57,7.8
DCBBANK,31.81,20.37,11.3,4.57
DCI,26.57,9.73,7.97,3.09
DCM,52.01,10.72,7.38,0.95
DCMFINSERV,54.82,2.48,8.71,2.2
DCMNVL,42.01,14.94,4.33,4.42
DCMSHRIRAM,55.52,19.34,15.96,0.6
DCMSIL,58.51,3.05,9.7,8.92
DCMSRIND,60.3,4.31,3.24,2.44
DCW,51.03,3.31,6.65,2.95
DCXINDIA,70.19,10.02,5.93,5.26
DDEVPLSTIK,61.12,11.64,8.21,6.17
DECCANCE,46.87,8.68,3.85,7.4
DECNGOLD,44.83,13.11,3.62,2.63
DEEDEV,52.91,7.67,7.19,8.97
DEEPAKFERT,55.04,15.46,9.76,5.1
DEEPAKNTR,51.12,29.3,20.22,8.77
DEEPINDS,66.18,10.17,7.08,0.52
DELHIVERY,53.55,22.77,27.81,4.23
DELPHIFX,44.8,4.12,2.19,1.69
DELTACORP,38.67,5.81,7.45,3.21
DELTAMAGNT,63.19,5.04,2.8,2.6
DEN,47.38,11.53,6.84,8.95
DENORA,35.59,8.0,7.33,1.41
DENTA,64.08,13.99,7.14,3.89
DEVIT,10.61,11.19,2.51,7.96
DEVX,51.24,14.27,6.43,0.15
DEVYANI,55.59,12.97,14.28,5.73
DGCONTENT,51.64,13.5,7.67,2.61
DHAMPURSUG,59.86,4.35,3.82,1.2
DHANBANK,27.34,3.32,5.3,6.91
DHANUKA,60.75,5.25,3.06,5.34
DHARAN,51.63,10.31,2.52,9.1
DHARMAJ,63.93,6.45,3.14,4.23
DHRUV,42.19,4.79,7.49,8.77
DHUNINV,36.84,2.39,2.42,0.96
DIACABS,55.68,11.25,15.99,5.07
DIAMINESQ,37.21,10.53,6.46,4.48
DIAMONDYD,45.68,4.67,2.86,5.79
DICIND,48.45,7.43,8.56,9.58
DIFFNKG,46.23,13.19,4.75,2.61
DIGIDRIVE,40.27,14.21,3.71,0.89
DIGISPICE,45.91,5.79,7.53,3.05
DIGITIDE,35.45,9.84,9.47,7.03
DIGJAMLMTD,53.31,13.97,2.36,5.65
DIL,43.25,10.7,1.54,8.96
DISAQ,62.76,9.35,2.03,7.75
DISHTV,50.23,5.98,8.98,0.04
DIVGIITTS,43.73,7.5,7.91,9.29
DIVISLAB,46.58,35.49,14.12,2.81
DIXON,17.4,40.08,20.75,5.41
DJML,39.79,6.54,9.61,7.0
DLF,48.43,23.2,24.69,8.66
DLINKINDIA,10.75,2.74,2.37,9.44
DMART,43.17,25.95,18.72,2.49
DMCC,44.18,13.43,1.5,0.17
DNAMEDIA,64.43,3.8,8.43,7.36
DODLA,53.73,16.21,18.88,1.05
DOLATALGO,54.66,7.15,4.09,0.97
DOLLAR,64.14,14.23,7.79,1.82
DOLPHIN,62.78,10.15,9.01,1.41
DOMS,59.05,12.26,8.12,4.67
DONEAR,40.36,7.16,2.03,7.37
DPABHUSHAN,35.44,3.48,8.94,9.97
DPSCLTD,13.35,4.4,1.14,7.7
DPWIRES,61.44,12.04,9.18,2.23
DRAGARWQ,47.11,3.88,7.62,2.4
DRCSYSTEMS,17.36,13.04,3.99,8.74
DREAMFOLKS,63.39,8.94,9.53,4.83
DREDGECORP,36.91,13.69,1.45,0.96
DRREDDY,61.27,32.52,19.36,1.4
DSFCL,49.64,6.34,8.6,0.93
DSSL,31.36,10.53,2.62,8.63
DTIL,35.73,6.98,1.08,3.19
DUCON,61.69,4.49,6.73,6.88
DVL,50.09,9.52,8.34,6.0
DWARKESH,51.86,12.11,7.02,5.99
DYCL,41.28,9.99,3.46,5.88
DYNAMATECH,53.33,19.73,9.58,3.27
DYNPRO,38.42,9.95,8.55,1.1
E2E,31.53,11.32,13.0,1.2
EASEMYTRIP,47.76,11.97,9.2,7.35
EASTSILK,38.32,5.72,8.93,3.72
EBGNG,17.95,4.53,3.1,3.4
